,CASE_NUMBER,HREF,YEAR,DATE,TIME,COUNTRY,AREA,LOCATION,SPECIES,PROVOCATION,ACTIVITY,SEX,AGE,FATAL_YN,BODY_AREA_ATTACKED,TYPE_OF_INJURY
23,2016.07.27,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf,2016,27-Jul-16,NOT AVAILABLE,USA,Florida,"Florida Keys, Monroe County","Nurse shark, 4'",Provoked,lobstering,M,35-44,N,upper limbs,lacerations
24,2016.07.26,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf,2016,26-Jul-16,late morning,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",NOT AVAILABLE,Unprovoked,surfing,M,18-24,N,lower limbs,severed body part
25,2016.07.24,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf,2016,24-Jul-16,evening,JAPAN,Kochi Prefecture,Irino Beach,NOT AVAILABLE,Unprovoked,surfing,M,25-34,N,lower limbs,lacerations
26,2016.07.23.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-Critchlow.pdf,2016,23-Jul-16,NOT AVAILABLE,AUSTRALIA,Tasmania,Clifton Beach,NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,lower limbs,no injury
27,2016.07.23.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23-Cutbirth.pdf,2016,23-Jul-16,NOT AVAILABLE,BAHAMAS,Abaco Islands,Green Turtle Cay,"Bull shark, 6'",Unprovoked,spearfishing,M,NOT AVAILABLE,N,lower limbs,lacerations
29,2016.07.17,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf,2016,17-Jul-16,NOT AVAILABLE,USA,Alabama,8 miles off Mobile,"Tiger shark, 10'",Boat,fishing in alabama deep fishing rodeo,NOT AVAILABLE,NOT AVAILABLE,N,no injury,bite
31,2016.07.16.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf,2016,16-Jul-16,late morning,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,not available,F,under 12,N,lower limbs,NOT AVAILABLE
32,2016.07.15,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-MyrtleBeach.pdf,2016,15-Jul-16,NOT AVAILABLE,USA,South Carolina,"North Myrtle Beach, Horry County",NOT AVAILABLE,Unprovoked,swimming,M,NOT AVAILABLE,N,lower limbs,NOT AVAILABLE
33,2016.07.14.4,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14.R-TigerBeach.pdf,2016,Reported  14-Jul-2016,NOT AVAILABLE,BAHAMAS,NOT AVAILABLE,Tiger Beach,"Lemon shark, 9'",Unprovoked,scuba diving,M,NOT AVAILABLE,N,head or neck,NOT AVAILABLE
34,2016.07.08.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf,2016,Reported 08-Jul-2016,NOT AVAILABLE,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Angel shark,Unprovoked,wading,F,under 12,N,lower limbs,NOT AVAILABLE
35,2016.07.08,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf,2016,08-Jul-16,NOT AVAILABLE,USA,California,"Capitola, Santa Cruz County",White shark,Boat,fishing,M,NOT AVAILABLE,N,no injury,bite
36,2016.07.07.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf,2016,07-Jul-16,morning,USA,Massachusetts,"Off Gloucester, Essec County",dogfish shark,Provoked,fishing,M,55-64,N,upper limbs,NOT AVAILABLE
37,2016.07.07.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf,2016,07-Jul-16,NOT AVAILABLE,USA,California,"Off Palos Verdes peninsula, Los Angeles County",White shark,Boat,fishing,M,NOT AVAILABLE,N,no injury,bite
38,2016.07.06,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf,2016,06-Jul-16,afternoon,USA,Florida,"Melbourne Beach, Brevard County",NOT AVAILABLE,Unprovoked,swimming,F,35-44,N,lower limbs,NOT AVAILABLE
39,2016.07.04,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf,2016,04-Jul-16,early night,AUSTRALIA,Queensland,Palm Cove,Tawny nurse shark,Provoked,fishing,M,25-34,N,lower limbs,NOT AVAILABLE
40,2016.06.27,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf,2016,27-Jun-16,afternoon,USA,South Carolina,Sullivan's Island,3' to 4' shark,Unprovoked,not available,M,35-44,N,NOT AVAILABLE,NOT AVAILABLE
41,2016.06.25,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf,2016,25-Jun-16,afternoon,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",NOT AVAILABLE,Unprovoked,surfing,M,under 12,N,lower limbs,NOT AVAILABLE
42,2016.06.24,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf,2016,24-Jun-16,late morning,COLUMBIA,Isla Provedencia,NOT AVAILABLE,"Caribbean reef shark, 4.5'",Unprovoked,scuba diving,M,55-64,N,upper limbs,bite
43,2016.06.23,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Rysport.pdf,2016,23-Jun-16,NOT AVAILABLE,SOUTH AFRICA,Western Cape Province,Ryspunt,White shark,Unprovoked,spearfishing,M,35-44,N,lower limbs,NOT AVAILABLE
44,2016.06.21.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf,2016,21-Jun-16,afternoon,USA,South Carolina,"North Myrtle Beach, Horry County",3' to 5' shark,Unprovoked,floating,M,35-44,N,lower limbs,lacerations
45,2016.06.21.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf,2016,21-Jun-16,afternoon,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",NOT AVAILABLE,Unprovoked,wading,M,NOT AVAILABLE,N,lower limbs,NOT AVAILABLE
46,2016.06.15.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf,2016,15-Jun-16,early morning,USA,Hawaii,"Kalapaki Beach, Kauai",3' to 4' shark,Unprovoked,surfing,M,NOT AVAILABLE,N,upper limbs,NOT AVAILABLE
47,2016.06.15.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf,2016,15-Jun-16,NOT AVAILABLE,AUSTRALIA,Western Australia,Coral Bay,5' shark,Provoked,spearfishing,M,18-24,N,no injury,no injury
48,2016.06.14,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf,2016,14-Jun-16,afternoon,USA,Texas,"Pirates Beach, Galveston",3' to 4' shark,Unprovoked,floating,F,under 12,N,lower limbs,NOT AVAILABLE
49,2016.06.11,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf,2016,11-Jun-16,afternoon,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",3' shark,Unprovoked,standing,M,18-24,N,upper limbs,lacerations
50,2016.06.07,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf,2016,07-Jun-16,late morning,USA,South Carolina,"Folly Beach, Charleston County",Said to involve an 8' shark but more likely damage caused by debris,Invalid,surfing,M,25-34,N,no injury,no injury
51,2016.06.05.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf,2016,05-Jun-16,morning,USA,Florida,"Flagler Beach, Flagler County",NOT AVAILABLE,Unprovoked,swimming,M,55-64,N,lower limbs,bite
52,2016.06.05.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf,2016,05-Jun-16,late morning,AUSTRALIA,Western Australia,Mindarie,3+ m shark,Unprovoked,diving,F,55-64,Y,NOT AVAILABLE,NOT AVAILABLE
53,2016.06.04,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf,2016,04-Jun-16,morning,EGYPT,Suez,Ain Sokhna,Mako shark,Unprovoked,swimming,M,18-24,N,lower limbs,bite
55,2016.06.02.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-Pierre.pdf,2016,02-Jun-16,afternoon,NEW CALEDONIA,NOT AVAILABLE,"Côte-Blanche, Nouméa",3 m shark,Unprovoked,surfing,M,NOT AVAILABLE,N,lower limbs,lacerations
56,2016.05.31,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf,2016,31-May-16,afternoon,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",White shark,Unprovoked,surfing,M,25-34,Y,NOT AVAILABLE,NOT AVAILABLE
57,2016.05.29.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf,2016,29-May-16,afternoon,USA,California,"Corona Del Mar, Newport, Orange County",NOT AVAILABLE,Unprovoked,swimming,F,45-54,N,upper limbs,NOT AVAILABLE
58,2016.05.29.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf,2016,29-May-16,afternoon,USA,Florida,"Neptune, Duval County",5' shark,Unprovoked,swimming,M,12-17,N,lower limbs,NOT AVAILABLE
59,2016.05.22,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf,2016,22-May-16,late morning,USA,Florida,"Vero Beach, Indian River County",NOT AVAILABLE,Unprovoked,swimming,F,55-64,N,lower limbs,NOT AVAILABLE
60,2016.05.21.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf,2016,21-May-16,evening,USA,Florida,"St. Petersburg, Pinellas County","Bull shark, 4' to 5'",Unprovoked,swimming,F,18-24,N,lower limbs,lacerations
61,2016.05.21.a,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.a-Girl.pdf,2016,21-May-16,afternoon,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",NOT AVAILABLE,Unprovoked,swimming,F,under 12,N,upper limbs,NOT AVAILABLE
62,2016.05.18,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf,2016,18-May-16,morning,USA,Florida,"Ponte Vedra, St. Johns County","Blacktip shark, 4'",Unprovoked,swimming,M,45-54,N,lower limbs,bite
63,2016.05.15,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf,2016,15-May-16,afternoon,USA,Florida,"Boca Raton, Palm Beach County","Nurse shark, 2'",Provoked,teasing a shark,F,18-24,N,upper limbs,NOT AVAILABLE
64,2016.05.03,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf,2016,03-May-16,afternoon,USA,Hawaii,"Wailea Beach, Maui",NOT AVAILABLE,Unprovoked,floating,M,55-64,N,upper limbs,lacerations
65,2016.05.02,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.02-NZ-pdf,2016,02-May-16,afternoon,NEW ZEALAND,North Island,Cormandel,"Mako shark, 1.5 m [5']",Provoked,fishing,M,35-44,N,lower limbs,bite
66,2016.04.25,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf,2016,25-Apr-16,early morning,INDONESIA,Bali,Balian,"Bull shark, 6'",Unprovoked,surfing,M,18-24,N,upper limbs,bite
67,2016.04.23,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf,2016,23-Apr-16,afternoon,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,surfing,M,12-17,N,lower limbs,NOT AVAILABLE
68,2016.04.22,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf,2016,22-Apr-16,morning,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",White shark,Unprovoked,surfing,M,NOT AVAILABLE,N,no injury,bite
69,2016.04.19,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf,2016,19-Apr-16,late morning,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Wobbegong shark,Unprovoked,swimming,M,12-17,N,lower limbs,NOT AVAILABLE
70,2016.04.18,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.18-Tokoragi.pdf,2016,18-Apr-16,NOT AVAILABLE,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,"Grey reef shark, 2 m",Provoked,spearfishing,M,25-34,N,lower limbs,lacerations
71,2016.04.13,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf,2016,13-Apr-16,NOT AVAILABLE,USA,Florida,"Off Singer Island, Palm Beach County","Bull shark, 7'",Unprovoked,spearfishing,M,25-34,N,upper limbs,bite
72,2016.04.09,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-Malignon.pdf,2016,09-Apr-16,morning,NEW CALEDONIA,Grand Terre,Poe Beach,"Tiger shark, 2.5 m",Unprovoked,wading,F,65-74,Y,NOT AVAILABLE,NOT AVAILABLE
73,2016.04.08,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-CapeVerde.pdf,2016,08-Apr-16,NOT AVAILABLE,CAPE VERDE,Boa Vista Island,NOT AVAILABLE,Shark involvement not confirmed,Invalid,not available,M,55-64,N,NOT AVAILABLE,NOT AVAILABLE
74,2016.04.07.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf,2016,07-Apr-16,NOT AVAILABLE,USA,Florida,"Florida Keys, Monroe County",5' to 6' shark,Unprovoked,fishing,M,25-34,N,upper limbs,bite
75,2016.04.07.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf,2016,07-Apr-16,NOT AVAILABLE,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",NOT AVAILABLE,Invalid,sup,M,NOT AVAILABLE,N,no injury,no injury
76,2016.03.31,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf,2016,31-Mar-16,late morning,USA,Hawaii,"Olowalu, Maui",NOT AVAILABLE,Unprovoked,snorkelling,F,45-54,N,lower limbs,NOT AVAILABLE
77,2016.03.30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.30-Connellan.pdf,2016,30-Mar-16,evening,AUSTRALIA,New South Wales,Bombo Beach,NOT AVAILABLE,Unprovoked,surfing,M,18-24,N,lower limbs,NOT AVAILABLE
78,2016.03.28.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-Kawa.pdf,2016,28-Mar-16,NOT AVAILABLE,USA,Florida,"Fort Myers Beach, Lee County",Shark involvement not confirmed,Unprovoked,not available,M,12-17,N,upper limbs,NOT AVAILABLE
79,2016.03.28.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.28.a-Smyth.pdf,2016,28-Mar-16,late morning,AUSTRALIA,New South Wales,North Cronulla Beach,NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,no injury,no injury
80,2016.03.26,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-Kreckman.pdf,2016,26-Mar-16,NOT AVAILABLE,BAHAMAS,NOT AVAILABLE,NOT AVAILABLE,"Nurse shark, 2.5-ft",Provoked,not available,M,under 12,N,abdomen,NOT AVAILABLE
81,2016.03.13,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf,2016,13-Mar-16,morning,USA,California,"Bolsa Chica State Park, Orange County",Shark involvement not confirmed,Invalid,surfing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
82,2016.03.11,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf,2016,11-Mar-16,afternoon,USA,Florida,"Vero Beach, St. Lucie County",NOT AVAILABLE,Unprovoked,body surfing,M,18-24,N,lower limbs,lacerations
83,2016.03.10,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-Tabua.pdf,2016,10-Mar-16,afternoon,FIJI,Vanua Levu,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,diving for fish/pearls,M,45-54,Y,NOT AVAILABLE,NOT AVAILABLE
84,2016.03.04,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf,2016,04-Mar-16,afternoon,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",NOT AVAILABLE,Unprovoked,not available,M,12-17,N,lower limbs,NOT AVAILABLE
86,2016.03.02,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-Thomas.pdf,2016,02-Mar-16,NOT AVAILABLE,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Sandtiger shark,Unprovoked,swimming,M,35-44,N,head or neck,NOT AVAILABLE
87,2016.02.22,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.22-Noumea.pdf,2016,22-Feb-16,evening,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",NOT AVAILABLE,Unprovoked,surfing,M,18-24,N,lower limbs,NOT AVAILABLE
88,2016.02.19,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.19-NewCaledonia.pdf,2016,19-Feb-2016,afternoon,NEW CALEDONIA,South Province,Yate,NOT AVAILABLE,Unprovoked,spearfishing,M,25-34,N,upper limbs,bite
89,2016.02.12,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.12-Howe.pdf,2016,12-Feb-16,afternoon,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",NOT AVAILABLE,Unprovoked,wading,F,NOT AVAILABLE,N,lower limbs,NOT AVAILABLE
90,2016.02.10.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.10.R-Branson-stingray.pdf,2016,Reported 10-Feb-2016,NOT AVAILABLE,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,No shark involvement,Invalid,feeding stingrays?,M,65-74,N,upper limbs,NOT AVAILABLE
91,2016.02.10,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.11-NettleyBay.pdf,2016,10-Feb-16,late morning,AUSTRALIA,Tasmania,Nettley Bay,No shark involvement,Invalid,surfing,M,NOT AVAILABLE,N,no injury,no injury
92,2016.02.05,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.05-Stradbroke.pdf,2016,05-Feb-16,afternoon,AUSTRALIA,Queensland,Stradbroke Island,NOT AVAILABLE,Unprovoked,wading,F,45-54,N,lower limbs,NOT AVAILABLE
93,2016.02.04,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.04-Morris.pdf,2016,04-Feb-16,late afternoon,AUSTRALIA,New South Wales,Hams Beach,NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,no injury,bite
94,2016.01.29,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.29-DeLange.pdf,2016,29-Jan-16,NOT AVAILABLE,SOUTH AFRICA,KwaZulu-Natal,NOT AVAILABLE,NOT AVAILABLE,Boat,in row boat,M,NOT AVAILABLE,N,no injury,no injury
95,2016.01.28,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.28-Kauai.pdf,2016,28-Jan-16,afternoon,USA,Hawaii,"Hanalei Bay, Kauai","Reef shark, 5'",Unprovoked,surfing,M,NOT AVAILABLE,N,upper limbs,lacerations
96,2016.01.25,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.25-Waldman.pdf,2016,25-Jan-16,late morning,USA,Hawaii,"Hanalei Bay, Kauai,",NOT AVAILABLE,Unprovoked,surfing,F,12-17,N,no injury,no injury
97,2016.01.24.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.b-Love.pdf,2016,24-Jan-16,morning,USA,Texas,Off Surfside,Bull sharks x 2,Unprovoked,spearfishing,M,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
98,2016.01.24.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.a-UAEboat.pdf,2016,24-Jan-16,NOT AVAILABLE,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Mako shark,Boat,fishing,M,NOT AVAILABLE,N,no injury,no injury
99,2016.01.23,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.23-Mason.pdf,2016,23-Jan-16,morning,USA,Hawaii,"Wailea Beach, Maui","Tiger shark, 14'",Unprovoked,paddle boarding,M,45-54,N,no injury,no injury
100,2016.01.11.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.11.R-Hilder.pdf,2016,Reported 11-Jan-2016,NOT AVAILABLE,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Wobbegong shark,Unprovoked,surfing,M,NOT AVAILABLE,N,lower limbs,lacerations
101,2016.01.05,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.05-Davis.pdf,2016,05-Jan-16,afternoon,AUSTRALIA,Queensland,Heron Island,Blacktip shark,Unprovoked,wading,M,under 12,N,lower limbs,lacerations
